時点,区分,項目,非改善群,非改善群n,改善群,改善群n,改善群の個別値,p
最終利用可能時点,初回,初回 MMSE 3段階命令,2.9±0.3,12,3.0±0.0,2,"3, 3",0.9230769230769231
最終利用可能時点,初回,初回 MMSE 書字,1.0±0.0,12,1.0±0.0,2,"1, 1",
最終利用可能時点,初回,初回 MMSE 図形模写,1.0±0.0,12,0.5±0.7,2,"0, 1",0.3516483516483517
最終利用可能時点,初回,初回 CDR 記憶,0.50±0.00,12,0.50±0.00,2,"0.5, 0.5",
最終利用可能時点,初回,初回 CDR 見当識,0.21±0.26,12,0.50±0.00,2,"0.5, 0.5",0.26373626373626374
最終利用可能時点,初回,初回 CDR 判断力・問題解決,0.42±0.19,12,0.50±0.00,2,"0.5, 0.5",0.7912087912087913
最終利用可能時点,初回,初回 CDR 地域社会の活動,0.21±0.26,12,0.25±0.35,2,"0.5, 0",0.9230769230769231
最終利用可能時点,初回,初回 CDR 家庭・趣味,0.21±0.26,12,0.00±0.00,2,"0, 0",0.4395604395604396
最終利用可能時点,初回,初回 CDR 身の回りの世話,0.00±0.00,12,0.00±0.00,2,"0, 0",
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE合計,24.4±2.3,12,24.0±1.4,2,"23, 25",0.9230769230769231
最終利用可能時点,最終利用可能時点,最終利用可能時点 CDR-SB,2.5±1.1,12,2.8±1.8,2,"4, 1.5",1.0
最終利用可能時点,最終利用可能時点,最終利用可能時点 Global CDR,0.58±0.19,12,0.75±0.35,2,"1, 0.5",0.5494505494505495
最終利用可能時点,最終利用可能時点,最終利用可能時点 MoCA-J,21.0±3.5,5,18.0,1,18,0.6666666666666666
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 時間見当識,3.4±1.5,12,3.5±0.7,2,"3, 4",0.9230769230769231
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 場所見当識,4.6±0.5,12,5.0±0.0,2,"5, 5",0.4395604395604396
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 物品呼称,2.0±0.0,12,2.0±0.0,2,"2, 2",
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 記銘,3.0±0.0,12,3.0±0.0,2,"3, 3",
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 注意計算,4.2±1.0,12,3.5±0.7,2,"3, 4",0.3516483516483517
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 遅延再生,0.3±0.9,12,0.0±0.0,2,"0, 0",0.7912087912087913
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 復唱,0.9±0.3,12,1.0±0.0,2,"1, 1",0.9230769230769231
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 読字理解,1.0±0.0,12,1.0±0.0,2,"1, 1",
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 3段階命令,2.9±0.3,12,3.0±0.0,2,"3, 3",0.9230769230769231
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 書字,1.0±0.0,12,1.0±0.0,2,"1, 1",
最終利用可能時点,最終利用可能時点,最終利用可能時点 MMSE 図形模写,1.0±0.0,12,1.0±0.0,2,"1, 1",
最終利用可能時点,最終利用可能時点,最終利用可能時点 CDR 記憶,0.67±0.25,12,0.75±0.35,2,"1, 0.5",0.7912087912087913
最終利用可能時点,最終利用可能時点,最終利用可能時点 CDR 見当識,0.46±0.26,12,0.50±0.00,2,"0.5, 0.5",0.9230769230769231
最終利用可能時点,最終利用可能時点,最終利用可能時点 CDR 判断力・問題解決,0.46±0.26,12,0.75±0.35,2,"1, 0.5",0.3516483516483517
最終利用可能時点,最終利用可能時点,最終利用可能時点 CDR 地域社会の活動,0.38±0.38,12,0.50±0.71,2,"1, 0",0.9230769230769231
最終利用可能時点,最終利用可能時点,最終利用可能時点 CDR 家庭・趣味,0.42±0.29,12,0.25±0.35,2,"0.5, 0",0.6593406593406594
最終利用可能時点,最終利用可能時点,最終利用可能時点 CDR 身の回りの世話,0.08±0.29,12,0.00±0.00,2,"0, 0",0.9230769230769231
最終利用可能時点,変化量,ΔMMSE合計,-0.5±1.9,12,1.5±2.1,2,"0, 3",0.3516483516483517
最終利用可能時点,変化量,ΔCDR-SB,0.9±0.8,12,1.0±1.4,2,"2, 0",1.0
最終利用可能時点,変化量,ΔGlobal CDR,0.08±0.19,12,0.25±0.35,2,"0.5, 0",0.5494505494505495
最終利用可能時点,変化量,ΔMoCA-J,-0.6±2.4,5,1.0,1,1,1.0
最終利用可能時点,変化量,ΔMMSE 時間見当識,-0.8±0.8,12,1.5±0.7,2,"1, 2",0.02197802197802198
最終利用可能時点,変化量,ΔMMSE 場所見当識,0.2±0.7,12,0.5±0.7,2,"0, 1",0.5494505494505495
最終利用可能時点,変化量,ΔMMSE 物品呼称,0.0±0.0,12,0.0±0.0,2,"0, 0",
最終利用可能時点,変化量,ΔMMSE 記銘,0.2±0.4,12,0.0±0.0,2,"0, 0",0.7912087912087913
最終利用可能時点,変化量,ΔMMSE 注意計算,0.2±1.3,12,-0.5±2.1,2,"-2, 1",0.9230769230769231
最終利用可能時点,変化量,ΔMMSE 遅延再生,-0.2±0.5,12,-0.5±0.7,2,"0, -1",0.6593406593406594
